PeakID (cmd=annotatePeaks.pl ENCFF558YNC.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak_2368	chr12	56540073	56540593	+	235	NA	Intergenic	Intergenic	-3425	NM_009385	21869	Mm.89972	NM_009385	ENSMUSG00000001496	Nkx2-1	AV026640|Nkx2.1|T/EBP|Titf1|Ttf-1	NK2 homeobox 1	protein-coding
Peak_2359	chr18	80708890	80709951	+	235	NA	intron (NM_198429, intron 1 of 9)	intron (NM_198429, intron 1 of 9)	-1247	NM_001164111	18018	Mm.329560	NM_016791	ENSMUSG00000033016	Nfatc1	2210017P03Rik|AI449492|AV076380|NF-ATc|NFAT2|NFATc|Nfatcb	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	protein-coding
Peak_2332	chr5	103426135	103426309	+	235	NA	intron (NM_011204, intron 1 of 47)	intron (NM_011204, intron 1 of 47)	1030	NM_011204	19249	Mm.3414	NM_011204	ENSMUSG00000034573	Ptpn13	AI324989|PTP-BL|PTPL1|Ptpri|RIP	protein tyrosine phosphatase, non-receptor type 13	protein-coding
Peak_2394	chr14	28505423	28506533	+	235	NA	5' UTR (NM_009524, exon 1 of 5)	5' UTR (NM_009524, exon 1 of 5)	505	NM_009524	22418	Mm.287544	NM_009524	ENSMUSG00000021994	Wnt5a	8030457G12Rik|Wnt-5a	wingless-type MMTV integration site family, member 5A	protein-coding
Peak_2364	chr16	18127653	18127790	+	235	NA	promoter-TSS (NM_022982)	promoter-TSS (NM_022982)	15	NM_022982	65079	Mm.40149	NM_022982	ENSMUSG00000043811	Rtn4r	NOGOR|NgR|NgR1	reticulon 4 receptor	protein-coding
Peak_2384	chr2	74685469	74685795	+	235	NA	non-coding (NR_073086, exon 2 of 2)	non-coding (NR_073086, exon 2 of 2)	3309	NM_008273	15431	Mm.207763	NM_008273	ENSMUSG00000042499	Hoxd11	E230017H14Rik|Hox-4.6|Hox-5.4|Hox-5.5	homeobox D11	protein-coding
Peak_2344	chr18	74442481	74442757	+	235	NA	promoter-TSS (NM_201600)	promoter-TSS (NM_201600)	0	NM_201600	17919	Mm.260098	NM_008661	ENSMUSG00000025885	Myo5b	AI661750|mKIAA1119	myosin VB	protein-coding
Peak_2334	chr15	76518209	76518465	+	235	NA	3' UTR (NM_130893, exon 2 of 2)	3' UTR (NM_130893, exon 2 of 2)	3792	NM_130893	170729	Mm.218747	NM_130893	ENSMUSG00000048385	Scrt1	-	scratch family zinc finger 1	protein-coding
Peak_2374	chr6	52241041	52241359	+	235	NA	promoter-TSS (NM_001122950)	promoter-TSS (NM_001122950)	-346	NM_001122950	15395	Mm.5	NM_008263	ENSMUSG00000000938	Hoxa10	Hox-1.8|Hoxa-10	homeobox A10	protein-coding
Peak_2354	chr1	133162708	133162830	+	235	NA	Intergenic	Intergenic	31603	NM_133819	108954	Mm.293628	NM_133819	ENSMUSG00000046062	Ppp1r15b	1810033K10Rik|AI606441|C530022L24Rik|CReP	protein phosphatase 1, regulatory (inhibitor) subunit 15b	protein-coding
Peak_2422	chr11	119034777	119035315	+	232	NA	Intergenic	Intergenic	5867	NM_013926	30951	Mm.99953	NM_013926	ENSMUSG00000025578	Cbx8	Pc3	chromobox 8	protein-coding
Peak_2418	chrX	48344943	48345251	+	232	NA	intron (NM_178782, intron 2 of 14)	intron (NM_178782, intron 2 of 14)	3739	NM_178782	320376	Mm.210146	NM_178782	ENSMUSG00000036959	Bcorl1	6720425J07Rik|B930011H20Rik	BCL6 co-repressor-like 1	protein-coding
Peak_2441	chr3	66976883	66977107	+	232	NA	intron (NM_013665, intron 2 of 4)	intron (NM_013665, intron 2 of 4)	1816	NM_001302358	20429	Mm.39093	NM_013665	ENSMUSG00000027833	Shox2	6330543G17Rik|OG12|Og12x|Prx3|SHOT	short stature homeobox 2	protein-coding
Peak_2462	chr3	62339406	62340014	+	232	NA	exon (NM_001081295, exon 1 of 14)	exon (NM_001081295, exon 1 of 14)	933	NM_001081295	622434	Mm.153974	NM_001081295	ENSMUSG00000036885	Arhgef26	4631416L12Rik|8430436L14Rik|AI303572|AW491953|SGEF	Rho guanine nucleotide exchange factor (GEF) 26	protein-coding
Peak_2417	chr9	91354445	91354661	+	232	NA	Intergenic	Intergenic	11246	NM_009573	22771	Mm.335350	NM_009573	ENSMUSG00000032368	Zic1	ZIC|ZNF201	zinc finger protein of the cerebellum 1	protein-coding
Peak_2437	chr11	69339910	69340314	+	232	NA	promoter-TSS (NR_027827)	promoter-TSS (NR_027827)	-657	NR_027827	80515	Mm.5324	NM_020591	ENSMUSG00000043419	Chd3os	2310043C11Rik|A030009H04Rik|AA589459|AB041807|MNCb-2875|RNF21	chromodomain helicase DNA binding protein 3, opposite strand	ncRNA
Peak_2492	chr11	24073328	24073503	+	232	NA	Intergenic	Intergenic	-4641	NM_016707	14025	Mm.53687	NM_016707	ENSMUSG00000000861	Bcl11a	2810047E18Rik|BCL-11A|Ctip1|D930021L15Rik|Evi9|Evi9a|Evi9b|Evi9c|mKIAA1809	B cell CLL/lymphoma 11A (zinc finger protein)	protein-coding
Peak_2405	chr10	22812142	22812276	+	232	NA	Intergenic	Intergenic	7919	NM_011545	21412	Mm.16497	NM_011545	ENSMUSG00000045680	Tcf21	Pod-1|Pod1|bHLHa23|capsulin|epc|epicardin	transcription factor 21	protein-coding
Peak_2445	chr8	57335475	57336329	+	232	NA	intron (NR_131041, intron 1 of 2)	intron (NR_131041, intron 1 of 2)	3467	NR_131041	75996	Mm.399754	NR_131041	ENSMUSG00000097910	5033428I22Rik	-	RIKEN cDNA 5033428I22 gene	ncRNA
Peak_2431	chr6	52249448	52249848	+	232	NA	non-coding (NR_015348, exon 5 of 5)	non-coding (NR_015348, exon 5 of 5)	-3838	NM_010450	15396	Mm.26954	NM_010450	ENSMUSG00000038210	Hoxa11	Hox-1.9|Hoxa-11	homeobox A11	protein-coding
Peak_2423	chr13	98356754	98357162	+	232	NA	TTS (NM_008242)	TTS (NM_008242)	2713	NM_008242	15229	Mm.347441	NM_008242	ENSMUSG00000078302	Foxd1	AI385632|BF-2|FREAC4|Hfh10|Hfhbf2	forkhead box D1	protein-coding
Peak_2448	chr11	96303915	96304223	+	232	NA	exon (NM_008268, exon 1 of 2)	exon (NM_008268, exon 1 of 2)	557	NM_008268	15413	Mm.207	NM_008268	ENSMUSG00000038700	Hoxb5	AI385717|Hox-2.1	homeobox B5	protein-coding
Peak_2408	chr3	158560208	158560392	+	232	NA	intron (NM_001081358, intron 1 of 27)	intron (NM_001081358, intron 1 of 27)	1921	NM_001291452	242274	Mm.132162	NM_001081358	ENSMUSG00000028176	Lrrc7	AK122498|densin|mKIAA1365	leucine rich repeat containing 7	protein-coding
Peak_2480	chr8	92363118	92364489	+	232	NA	Intergenic	Intergenic	6007	NM_018826	54352	Mm.101153	NM_018826	ENSMUSG00000031737	Irx5	-	Iroquois homeobox 5	protein-coding
Peak_2407	chr3	104426425	104426560	+	232	NA	Intergenic	L1MB4|LINE|L1	85426	NM_001025067	269473	Mm.34855	NM_001025067	ENSMUSG00000032913	Lrig2	4632419I10Rik|BB096938|LIG-2	leucine-rich repeats and immunoglobulin-like domains 2	protein-coding
Peak_2463	chr4	128883638	128884095	+	232	NA	promoter-TSS (NM_178110)	promoter-TSS (NM_178110)	-274	NM_178110	67525	Mm.30653	NM_178110	ENSMUSG00000041000	Trim62	6330414G21Rik|AI450348|Dear1	tripartite motif-containing 62	protein-coding
Peak_2486	chr15	82211959	82212170	+	232	NA	exon (NM_001207021, exon 1 of 4)	exon (NM_001207021, exon 1 of 4)	751	NM_001207021	435145	Mm.41289	NM_001207021	ENSMUSG00000096883	Shisa8	Orf26|ckamp39	shisa family member 8	protein-coding
Peak_2447	chr2	9884285	9884666	+	232	NA	non-coding (NR_024257, exon 5 of 5)	non-coding (NR_024257, exon 5 of 5)	3229	NR_024257	381347	Mm.441450	NR_024257		4930412O13Rik	Gm10853	RIKEN cDNA 4930412O13 gene	ncRNA
Peak_2489	chr7	70358460	70358585	+	232	NA	intron (NM_183261, intron 1 of 2)	intron (NM_183261, intron 1 of 2)	2071	NM_009697	11819	Mm.158143	NM_009697	ENSMUSG00000030551	Nr2f2	2700033K02Rik|9430015G03Rik|ARP-1|Aporp1|COUP-TF2|COUP-TFII|COUPTFB|EAR3|SVP40|Tcfcoup2	nuclear receptor subfamily 2, group F, member 2	protein-coding
Peak_2493	chr1	128589979	128590430	+	232	NA	intron (NM_001356509, intron 1 of 1)	intron (NM_001356509, intron 1 of 1)	2095	NM_009911	12767	Mm.1401	NM_009911	ENSMUSG00000045382	Cxcr4	CD184|CXC-R4|CXCR-4|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo	chemokine (C-X-C motif) receptor 4	protein-coding
Peak_2435	chr15	102962881	102963095	+	232	NA	Intergenic	Intergenic	-3808	NM_010462	209448	Mm.31665	NM_010462	ENSMUSG00000022484	Hoxc10	AI506621|Hox-3.6	homeobox C10	protein-coding
Peak_2458	chr2	172938912	172939874	+	232	NA	intron (NM_007557, intron 1 of 6)	CpG	928	NM_007557	12162	Mm.595	NM_007557	ENSMUSG00000008999	Bmp7	OP1	bone morphogenetic protein 7	protein-coding
Peak_2471	chr7	16475205	16476184	+	232	NA	intron (NM_008718, intron 1 of 11)	CpG	1086	NM_008718	18142	Mm.145821	NM_008718	ENSMUSG00000001988	Npas1	MOP5|bHLHe11	neuronal PAS domain protein 1	protein-coding
Peak_2429	chr5	143269819	143269977	+	232	NA	5' UTR (NM_017467, exon 1 of 7)	5' UTR (NM_017467, exon 1 of 7)	124	NM_017467	54201	Mm.6666	NM_017467	ENSMUSG00000046658	Zfp316	Emzf1|Mzf3|Znf316	zinc finger protein 316	protein-coding
Peak_2457	chr19	44757627	44757814	+	232	NA	intron (NM_011037, intron 1 of 9)	intron (NM_011037, intron 1 of 9)	326	NM_011037	18504	Mm.192158	NM_011037	ENSMUSG00000004231	Pax2	Opdc|Pax-2	paired box 2	protein-coding
Peak_2496	chr5	101657733	101658051	+	232	NA	Intergenic	Intergenic	6819	NM_144955	18096	Mm.193072	NM_144955	ENSMUSG00000035187	Nkx6-1	NKX6A|Nkx6.1	NK6 homeobox 1	protein-coding
Peak_2490	chr11	95917062	95917272	+	232	NA	Intergenic	Intergenic	-2296	NM_008081	14422	Mm.340702	NM_008081	ENSMUSG00000013418	B4galnt2	AI593864|Dlb-1|Dlb1|Galg2|Galgt2|Ggm3|Igf2bp1	beta-1,4-N-acetyl-galactosaminyl transferase 2	protein-coding
Peak_2475	chr8	121119075	121119606	+	232	NA	TTS (NM_013519)	TTS (NM_013519)	3169	NM_013519	14234	Mm.14092	NM_013519	ENSMUSG00000046714	Foxc2	Fkh14|Hfhbf3|MFH-1|Mfh1	forkhead box C2	protein-coding
Peak_2483	chr11	116533292	116533552	+	232	NA	intron (NM_025367, intron 1 of 5)	CpG	184	NM_025367	20698	Mm.20944	NM_011451	ENSMUSG00000061878	Sphk1	1110006G24Rik|Sk1|Spk1	sphingosine kinase 1	protein-coding
Peak_2466	chr5	106453143	106453502	+	232	NA	3' UTR (NM_001005477, exon 3 of 3)	3' UTR (NM_001005477, exon 3 of 3)	4844	NM_001005477	104382	Mm.271593	NM_001005477	ENSMUSG00000034384	Barhl2	E130309B19Rik|MBH1	BarH like homeobox 2	protein-coding
Peak_2460	chr2	31638907	31639528	+	232	NA	promoter-TSS (NM_001123362)	promoter-TSS (NM_001123362)	-820	NM_001123362	381359	Mm.379512	NM_001123362	ENSMUSG00000079466	Prdm12	Gm998	PR domain containing 12	protein-coding
Peak_2420	chr2	27677592	27677865	+	232	NA	intron (NM_011305, intron 1 of 9)	CpG	527	NM_011305	20181	Mm.24624	NM_011305	ENSMUSG00000015846	Rxra	9530071D11Rik|Nr2b1|RXRalpha1	retinoid X receptor alpha	protein-coding
Peak_2426	chr12	56536301	56537217	+	232	NA	5' UTR (NM_009385, exon 1 of 3)	5' UTR (NM_009385, exon 1 of 3)	149	NM_009385	21869	Mm.89972	NM_009385	ENSMUSG00000001496	Nkx2-1	AV026640|Nkx2.1|T/EBP|Titf1|Ttf-1	NK2 homeobox 1	protein-coding
Peak_2451	chr14	48667922	48668237	+	232	NA	promoter-TSS (NM_001360225)	promoter-TSS (NM_001360225)	-435	NM_001286482	18424	Mm.134516	NM_144841	ENSMUSG00000021848	Otx2	E130306E05Rik	orthodenticle homeobox 2	protein-coding
Peak_2478	chr8	70373551	70373746	+	232	NA	promoter-TSS (NM_016685)	promoter-TSS (NM_016685)	100	NM_016685	12845	Mm.45071	NM_016685	ENSMUSG00000031849	Comp	TSP5	cartilage oligomeric matrix protein	protein-coding
Peak_2477	chr8	57333159	57333269	+	232	NA	intron (NR_131041, intron 1 of 2)	intron (NR_131041, intron 1 of 2)	779	NR_131041	75996	Mm.399754	NR_131041	ENSMUSG00000097910	5033428I22Rik	-	RIKEN cDNA 5033428I22 gene	ncRNA
Peak_2482	chr10	121310429	121310799	+	232	NA	intron (NM_001361015, intron 2 of 12)	CpG	782	NM_029057	74694	Mm.233833	NM_029057	ENSMUSG00000052302	Tbc1d30	4930505D03Rik|9530013E20Rik	TBC1 domain family, member 30	protein-coding
Peak_2456	chr19	32595899	32596502	+	232	NA	intron (NM_001201470, intron 1 of 11)	CpG	485	NM_001201470	23972	Mm.203916	NM_011864	ENSMUSG00000024899	Papss2	1810018P12Rik|AI159688|AtpsU2|Atpsk2|Sk2|bm	3'-phosphoadenosine 5'-phosphosulfate synthase 2	protein-coding
Peak_2450	chr13	24638764	24638913	+	232	NA	5' UTR (NM_029679, exon 1 of 23)	5' UTR (NM_029679, exon 1 of 23)	190	NM_029679	193385	Mm.217319	NM_029679	ENSMUSG00000036006	Ripor2	Fam65b	RHO family interacting cell polarization regulator 2	protein-coding
Peak_2428	chr2	147187872	147188265	+	232	NA	non-coding (NR_108091, exon 3 of 3)	non-coding (NR_108091, exon 3 of 3)	644	NR_108091	78068	Mm.261511	NR_108091	ENSMUSG00000053545	6430503K07Rik	-	RIKEN cDNA 6430503K07 gene	ncRNA
Peak_2467	chr5	33433407	33434789	+	232	NA	promoter-TSS (NM_011320)	promoter-TSS (NM_011320)	-8	NM_011320	672284		NM_011320	ENSMUSG00000029112	Nkx1-1	Nkx-1.1|Sax2	NK1 homeobox 1	protein-coding
Peak_2412	chr4	4137294	4137433	+	232	NA	intron (NM_001002927, intron 1 of 1)	intron (NM_001002927, intron 1 of 1)	1082	NM_001002927	18619	Mm.475097	NM_001002927	ENSMUSG00000045573	Penk	AI326464|ENK|PPA|Penk1	preproenkephalin	protein-coding
Peak_2443	chr15	97830841	97831500	+	232	NA	intron (NM_001204276, intron 1 of 25)	CpG	597	NM_001204276	56233	Mm.384027	NM_019572	ENSMUSG00000022475	Hdac7	5830434K02Rik|HD7|HD7a|Hdac7a|mFLJ00062	histone deacetylase 7	protein-coding
Peak_2427	chr16	35153700	35154133	+	232	NA	Intergenic	Intergenic	-1720	NM_001012765	224129	Mm.41137	NM_001012765	ENSMUSG00000022840	Adcy5	AW121902|Ac5	adenylate cyclase 5	protein-coding
Peak_2468	chr5	35391818	35392749	+	232	NA	exon (NM_010445, exon 2 of 2)	exon (NM_010445, exon 2 of 2)	3166	NM_010445	15371	Mm.358606	NM_010445	ENSMUSG00000067438	Hmx1	Nkx5-3	H6 homeobox 1	protein-coding
Peak_2459	chr2	18608496	18608663	+	232	NA	Intergenic	Intergenic	-63883	NM_147778	12238	Mm.249586	NM_147778	ENSMUSG00000051154	Commd3	AW550818|Bup|D2Ertd542e	COMM domain containing 3	protein-coding
Peak_2432	chr7	118993840	118994166	+	232	NA	intron (NM_022420, intron 1 of 3)	intron (NM_022420, intron 1 of 3)	1208	NM_001195774	64297	Mm.103439	NM_022420	ENSMUSG00000008734	Gprc5b	AW125761|Raig2	G protein-coupled receptor, family C, group 5, member B	protein-coding
Peak_2425	chr6	52258156	52258517	+	232	NA	TTS (NM_008264)	TTS (NM_008264)	2544	NM_008264	15398	Mm.377086	NM_008264		Hoxa13	Hd|Hox-1.10	homeobox A13	protein-coding
Peak_2470	chr7	138940824	138941273	+	232	NA	intron (NM_028708, intron 1 of 19)	CpG	318	NM_028708	74004	Mm.334298	NM_028708		Jakmip3	6330417G02Rik|AI593226|mKIAA4091	janus kinase and microtubule interacting protein 3	protein-coding
Peak_2476	chr8	12399604	12399947	+	232	NA	TTS (NM_009233)	TTS (NM_009233)	4256	NM_009233	20664	Mm.39088	NM_009233	ENSMUSG00000096014	Sox1	BB176347|Sox-1	SRY (sex determining region Y)-box 1	protein-coding
Peak_2465	chr4	4138611	4139016	+	232	NA	promoter-TSS (NM_001348209)	promoter-TSS (NM_001348209)	2	NM_001348209	18619	Mm.475097	NM_001002927	ENSMUSG00000045573	Penk	AI326464|ENK|PPA|Penk1	preproenkephalin	protein-coding
Peak_2491	chr19	43610192	43610645	+	232	NA	Intergenic	Intergenic	-1907	NM_008699	18089	Mm.56994	NM_008699	ENSMUSG00000044220	Nkx2-3	Nkx-2.3|Nkx2.3|tinman	NK2 homeobox 3	protein-coding
Peak_2495	chr11	48870800	48870934	+	232	NA	intron (NM_008326, intron 1 of 2)	intron (NM_008326, intron 1 of 2)	553	NM_008326	15944	Mm.29938	NM_008326	ENSMUSG00000046879	Irgm1	Ifggd3|Ifi1|Iigp3|Iipg3|Irgm	immunity-related GTPase family M member 1	protein-coding
Peak_2421	chr3	30510843	30511546	+	232	NA	Intergenic	Intergenic	-1519	NM_001361034	14013	Mm.56965	NM_007963	ENSMUSG00000027684	Mecom	D630039M04Rik|Evi-1|Evi1|Jbo|Mds|Mds1|Mds1-Evi1|Prdm3|Znfpr1b1	MDS1 and EVI1 complex locus	protein-coding
Peak_2442	chr15	83779471	83779605	+	232	NA	promoter-TSS (NM_172610)	promoter-TSS (NM_172610)	-485	NM_172610	223726	Mm.36395	NM_172610	ENSMUSG00000041708	Mpped1	6230403M19|AW456965|D15Bwg0669e	metallophosphoesterase domain containing 1	protein-coding
Peak_2413	chr7	70324014	70325051	+	232	NA	intron (NR_131144, intron 1 of 3)	intron (NR_131144, intron 1 of 3)	13290	NR_131145	624549	Mm.116344	NR_131144	ENSMUSG00000109097	Gm29683	Gm44536	predicted gene, 29683	ncRNA
Peak_2461	chr2	38711937	38712638	+	232	NA	promoter-TSS (NM_001316687)	promoter-TSS (NM_001316687)	-53	NM_001316687	26423	Mm.31387	NM_139051	ENSMUSG00000026751	Nr5a1	Ad4BP|ELP|ELP-3|Ftz-F1|Ftzf1|SF-1|SF1|STF-1	nuclear receptor subfamily 5, group A, member 1	protein-coding
Peak_2479	chr8	91806775	91806948	+	232	NA	Intergenic	Intergenic	-5207	NM_008393	16373	Mm.238044	NM_008393	ENSMUSG00000031734	Irx3	AI894186	Iroquois related homeobox 3	protein-coding
Peak_2430	chr6	52214825	52215531	+	232	NA	TTS (NM_010455)	TTS (NM_010455)	110	NR_045199	100736249	Mm.294826	NR_045199		Mira	-	mistral long non-coding RNA	ncRNA
Peak_2436	chr10	80490279	80490601	+	232	NA	Intergenic	Intergenic	-4466	NM_139226	246086	Mm.250572	NM_139226	ENSMUSG00000045518	Onecut3	OC-3|Oc3	one cut domain, family member 3	protein-coding
Peak_2481	chr9	54764834	54765281	+	232	NA	intron (NM_013496, intron 1 of 3)	intron (NM_013496, intron 1 of 3)	309	NM_013496	12903	Mm.34797	NM_013496	ENSMUSG00000032291	Crabp1	AI326249|CRABP-I|Crabp-1|CrabpI|Rbp-5	cellular retinoic acid binding protein I	protein-coding
Peak_2416	chr9	29413067	29413400	+	232	NA	promoter-TSS (NM_001357602)	promoter-TSS (NM_001357602)	219	NM_001357603	235106	Mm.283138	NM_172290	ENSMUSG00000059974	Ntm	6230410L23Rik|B230210G24Rik|Hnt|Igdcc2|R75390	neurotrimin	protein-coding
Peak_2410	chr4	40299523	40299773	+	232	NA	Intergenic	Intergenic	-13584	NR_040663	75819	Mm.399244	NR_040663	ENSMUSG00000087137	4930509K18Rik	-	RIKEN cDNA 4930509K18 gene	ncRNA
Peak_2485	chr15	35300531	35300899	+	232	NA	exon (NM_054049, exon 2 of 4)	exon (NM_054049, exon 2 of 4)	4603	NM_054049	107587	Mm.46336	NM_054049	ENSMUSG00000022330	Osr2	5430409I15Rik|Osr2A|Osr2B	odd-skipped related 2	protein-coding
Peak_2473	chr8	106869940	106870918	+	232	NA	promoter-TSS (NM_001331048)	promoter-TSS (NM_001331048)	187	NM_008217	15118	Mm.56986	NM_008217	ENSMUSG00000031910	Has3	-	hyaluronan synthase 3	protein-coding
Peak_2452	chr15	74517678	74517956	+	232	NA	intron (NM_001359759, intron 1 of 30)	CpG	1621	NM_174991	107831	Mm.43133	NM_174991	ENSMUSG00000034730	Adgrb1	B830018M07Rik|Bai1|R75078|mKIAA4089	adhesion G protein-coupled receptor B1	protein-coding
Peak_2419	chr2	74714261	74714430	+	232	NA	non-coding (NR_027899, exon 2 of 3)	non-coding (NR_027899, exon 2 of 3)	1785	NR_027899	73429	Mm.443313	NR_027899		Hoxd3os1	1700064D17Rik|1700109F18Rik	homeobox D3, opposite strand 1	ncRNA
Peak_2439	chr9	14751610	14751870	+	232	NA	exon (NM_010242, exon 1 of 1)	exon (NM_010242, exon 1 of 1)	382	NM_010242	14345	Mm.63450	NM_010242	ENSMUSG00000049307	Fut4	AI451562|CD15|FAL|FucT-IV|LeX|SSEA-1|Ssea1	fucosyltransferase 4	protein-coding
Peak_2446	chr14	118232350	118232644	+	232	NA	TTS (NM_177753)	TTS (NM_177753)	-3735	NR_131970	105245869	Mm.460408	NR_131969	ENSMUSG00000090534	LOC105245869	-	uncharacterized LOC105245869	ncRNA
Peak_2487	chr3	68870045	68870368	+	232	NA	exon (NM_001167996, exon 1 of 1)	exon (NM_001167996, exon 1 of 1)	620	NM_001167996	68725	Mm.45741	NM_001167996	ENSMUSG00000046999	1110032F04Rik	AI115547	RIKEN cDNA 1110032F04 gene	protein-coding
Peak_2406	chr13	116308249	116309133	+	232	NA	intron (NM_021459, intron 1 of 5)	intron (NM_021459, intron 1 of 5)	997	NM_021459	16392	Mm.42242	NM_021459	ENSMUSG00000042258	Isl1	-	ISL1 transcription factor, LIM/homeodomain	protein-coding
Peak_2440	chr13	83726517	83726646	+	232	NA	intron (NR_152245, intron 1 of 3)	intron (NR_152245, intron 1 of 3)	-1525	NR_015561	320203	Mm.245636	NM_177100	ENSMUSG00000050334	C130071C03Rik	2810449C10Rik|ECONEXIN|EyeLinc1|Visc-1	RIKEN cDNA C130071C03 gene	ncRNA
Peak_2472	chr7	81933962	81934850	+	232	NA	promoter-TSS (NM_013886)	promoter-TSS (NM_013886)	53	NM_013886	29877	Mm.392934	NM_013886	ENSMUSG00000025104	Hdgfl3	2700022B06Rik|HRP-3|Hdgfrp3	HDGF like 3	protein-coding
Peak_2453	chr15	79804526	79804669	+	232	NA	5' UTR (NM_030689, exon 1 of 5)	5' UTR (NM_030689, exon 1 of 5)	112	NM_030689	73340	Mm.38438	NM_030689	ENSMUSG00000022421	Nptxr	1200009K17Rik|1700036C17Rik|5730406O18Rik|AI452369|AI785356|D15Bwg0580e|NPR|Npcd	neuronal pentraxin receptor	protein-coding
Peak_2409	chr3	26332520	26332810	+	232	NA	promoter-TSS (NM_138666)	promoter-TSS (NM_138666)	-756	NM_138666	192167	Mm.316080	NM_138666	ENSMUSG00000063887	Nlgn1	6330415N05Rik|BB179718|NL1|Nlg1|mKIAA1070	neuroligin 1	protein-coding
Peak_2449	chr11	98338276	98339240	+	232	NA	Intergenic	CpG	-9113	NM_010895	18013	Mm.4814	NM_010895	ENSMUSG00000038255	Neurod2	Ndrf|bHLHa1	neurogenic differentiation 2	protein-coding
Peak_2484	chr15	102967793	102967977	+	232	NA	intron (NM_010462, intron 1 of 1)	intron (NM_010462, intron 1 of 1)	1089	NM_010462	209448	Mm.31665	NM_010462	ENSMUSG00000022484	Hoxc10	AI506621|Hox-3.6	homeobox C10	protein-coding
Peak_2494	chr6	115994791	115994943	+	232	NA	5' UTR (NM_026376, exon 1 of 36)	5' UTR (NM_026376, exon 1 of 36)	138	NM_026376	67784	Mm.3085	NM_026376	ENSMUSG00000030123	Plxnd1	6230425C21Rik|b2b1863Clo|b2b553Clo	plexin D1	protein-coding
Peak_2424	chr14	122487380	122487790	+	232	NA	intron (NR_153443, intron 1 of 24)	intron (NR_153443, intron 1 of 24)	3220	NR_153443	110821	Mm.23876	NM_144844	ENSMUSG00000041650	Pcca	C79630	propionyl-Coenzyme A carboxylase, alpha polypeptide	protein-coding
Peak_2464	chr4	153481254	153482268	+	232	NA	intron (NM_001099299, intron 1 of 5)	CpG	1069	NM_001099299	230959	Mm.318874	NM_001099299	ENSMUSG00000039546	Ajap1	Gm573	adherens junction associated protein 1	protein-coding
Peak_2454	chr17	8433707	8434060	+	232	NA	promoter-TSS (NM_009309)	promoter-TSS (NM_009309)	-540	NM_009309	20997	Mm.913	NM_009309	ENSMUSG00000062327	T	Bra|D17Mit170|Low|Lr|T1|Tbxt|Tl2|Tl3|cou|me75	brachyury, T-box transcription factor T	protein-coding
Peak_2474	chr8	108697542	108697708	+	232	NA	Intergenic	Intergenic	-17019	NM_007496	11906	Mm.416972	NM_007496	ENSMUSG00000038872	Zfhx3	A230102L03Rik|Atbf1|Sci|WBP9|mKIAA4228	zinc finger homeobox 3	protein-coding
Peak_2414	chr7	70370993	70371281	+	232	NA	intron (NR_045850, intron 1 of 10)	intron (NR_045850, intron 1 of 10)	-4391	NM_183261	11819	Mm.158143	NM_009697	ENSMUSG00000030551	Nr2f2	2700033K02Rik|9430015G03Rik|ARP-1|Aporp1|COUP-TF2|COUP-TFII|COUPTFB|EAR3|SVP40|Tcfcoup2	nuclear receptor subfamily 2, group F, member 2	protein-coding
Peak_2434	chr6	6879044	6880371	+	232	NA	exon (NM_010056, exon 2 of 3)	exon (NM_010056, exon 2 of 3)	2361	NM_198854	13395	Mm.4873	NM_010056	ENSMUSG00000029755	Dlx5	AI385752	distal-less homeobox 5	protein-coding
Peak_2444	chr5	111417338	111418179	+	232	NA	promoter-TSS (NM_001081235)	promoter-TSS (NM_001081235)	-408	NM_001081235	433938	Mm.332576	NM_001081235	ENSMUSG00000070576	Mn1	AA003644|AA009236	meningioma 1	protein-coding
Peak_2404	chr6	88193982	88194875	+	232	NA	intron (NM_001355253, intron 1 of 5)	CpG	537	NM_001355253	14461	Mm.491156	NM_008090	ENSMUSG00000015053	Gata2	Gata-2	GATA binding protein 2	protein-coding
Peak_2524	chr8	12396690	12397036	+	229	NA	exon (NM_009233, exon 1 of 1)	exon (NM_009233, exon 1 of 1)	1344	NM_009233	20664	Mm.39088	NM_009233	ENSMUSG00000096014	Sox1	BB176347|Sox-1	SRY (sex determining region Y)-box 1	protein-coding
Peak_2499	chr5	35396087	35396295	+	229	NA	Intergenic	Intergenic	7074	NM_010445	15371	Mm.358606	NM_010445	ENSMUSG00000067438	Hmx1	Nkx5-3	H6 homeobox 1	protein-coding
Peak_2498	chr12	51594687	51594936	+	229	NA	intron (NM_001198835, intron 3 of 11)	intron (NM_001198835, intron 3 of 11)	1470	NM_007728	12810	Mm.21325	NM_007728	ENSMUSG00000020953	Coch	AW122937|Coch-5B2|D12H14S564E	cochlin	protein-coding
Peak_2497	chr17	56512579	56512842	+	229	NA	promoter-TSS (NM_011483)	promoter-TSS (NM_011483)	-227	NM_011483	20834	Mm.76862	NM_011483	ENSMUSG00000044526	Znrf4	1700094M01Rik|Ssrzf1|spzn	zinc and ring finger 4	protein-coding
